datetime,temperature,humidity,weather
2025-03-26 09:00:00,38.74,7,Clouds
2025-03-26 12:00:00,37.05,8,Clouds
2025-03-26 15:00:00,27.91,13,Clouds
2025-03-26 18:00:00,24.87,17,Clouds
2025-03-26 21:00:00,23.56,20,Clouds
2025-03-27 00:00:00,21.81,23,Clear
2025-03-27 03:00:00,28.86,16,Clear
2025-03-27 06:00:00,36.91,10,Clear
2025-03-27 09:00:00,38.91,8,Clear
2025-03-27 12:00:00,37.08,8,Clear
2025-03-27 15:00:00,27.66,16,Clear
2025-03-27 18:00:00,23.67,20,Clear
2025-03-27 21:00:00,22.31,20,Clear
2025-03-28 00:00:00,19.3,17,Clear
2025-03-28 03:00:00,24.16,7,Clear
2025-03-28 06:00:00,32.55,3,Clear
2025-03-28 09:00:00,35.44,1,Clear
2025-03-28 12:00:00,32.54,2,Clear
2025-03-28 15:00:00,21.82,5,Clear
2025-03-28 18:00:00,17.89,8,Clear
2025-03-28 21:00:00,15.99,11,Clear
2025-03-29 00:00:00,14.67,12,Clouds
2025-03-29 03:00:00,22.51,9,Clouds
2025-03-29 06:00:00,32.01,4,Clouds
2025-03-29 09:00:00,35.19,2,Clouds
2025-03-29 12:00:00,32.49,3,Clouds
2025-03-29 15:00:00,23.79,7,Clouds
2025-03-29 18:00:00,19.65,11,Clouds
2025-03-29 21:00:00,16.7,15,Clouds
2025-03-30 00:00:00,15.72,16,Clouds
2025-03-30 03:00:00,24.32,11,Clear
2025-03-30 06:00:00,33.63,5,Clear
2025-03-30 09:00:00,36.75,2,Clear
2025-03-30 12:00:00,34.06,3,Clear
2025-03-30 15:00:00,23.79,7,Clear
2025-03-30 18:00:00,19.74,11,Clear
2025-03-30 21:00:00,18.14,13,Clear
2025-03-31 00:00:00,17.17,13,Clear
2025-03-31 03:00:00,26.0,8,Clear
2025-03-31 06:00:00,34.97,5,Clear
